TagTechnologyToSector{t in TECHNOLOGY, se in SECTOR}; ; ; ; ; ; ; ; 
Assigns Technologies to the different sectors.; ; ; ; ; ; ; ; 
Unit: Binary; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; 
Technology;Power;Industry;Buildings;Transportation;Resources;Storages;Transformation;CHP
A_Rooftop_Commercial; ; ; ; ;1; ; ; 
A_Rooftop_Residential; ; ; ; ;1; ; ; 
D_Battery_Li-Ion; ; ; ; ; ;1; ; 
D_Battery_Redox; ; ; ; ; ;1; ; 
D_Gas_H2; ; ; ; ; ;1; ; 
D_Heat_HLR; ; ; ; ; ;1; ; 
D_Heat_HLI; ; ; ; ; ;1; ; 
D_PHS; ; ; ; ; ;1; ; 
D_CAES; ; ; ; ; ;1; ; 
FRT_Rail_Conv; ; ; ;1; ; ; ; 
FRT_Rail_Electric; ; ; ;1; ; ; ; 
FRT_Road_BEV; ; ; ;1; ; ; ; 
FRT_Road_H2; ; ; ;1; ; ; ; 
FRT_Road_ICE; ; ; ;1; ; ; ; 
FRT_Road_PHEV; ; ; ;1; ; ; ; 
FRT_Road_OH; ; ; ;1; ; ; ; 
FRT_Ship_Bio; ; ; ;1; ; ; ; 
FRT_Ship_Conv; ; ; ;1; ; ; ; 
P_Biomass;1; ; ; ; ; ; ; 
P_Coal_Hardcoal;1; ; ; ; ; ; ; 
P_Coal_Lignite;1; ; ; ; ; ; ; 
P_Gas;1; ; ; ; ; ; ; 
P_Nuclear;1; ; ; ; ; ; ; 
P_Oil;1; ; ; ; ; ; ; 
PSNG_Air_Bio; ; ; ;1; ; ; ; 
PSNG_Air_Conv; ; ; ;1; ; ; ; 
PSNG_Air_H2; ; ; ;1; ; ; ; 
PSNG_Rail_Conv; ; ; ;1; ; ; ; 
PSNG_Rail_Electric; ; ; ;1; ; ; ; 
PSNG_Road_BEV; ; ; ;1; ; ; ; 
PSNG_Road_H2; ; ; ;1; ; ; ; 
PSNG_Road_ICE; ; ; ;1; ; ; ; 
PSNG_Road_PHEV; ; ; ;1; ; ; ; 
R_Coal_Hardcoal; ; ; ; ;1; ; ; 
R_Coal_Lignite; ; ; ; ;1; ; ; 
R_Gas; ; ; ; ;1; ; ; 
R_Nuclear; ; ; ; ;1; ; ; 
R_Oil; ; ; ; ;1; ; ; 
RES_CSP;1; ; ; ; ; ; ; 
RES_Geothermal;1; ; ; ; ; ; ; 
RES_Hydro_Large;1; ; ; ; ; ; ; 
RES_Hydro_Small;1; ; ; ; ; ; ; 
RES_Ocean;1; ; ; ; ; ; ; 
RES_PV_Rooftop_Commercial;1; ; ; ; ; ; ; 
RES_PV_Rooftop_Residential;1; ; ; ; ; ; ; 
RES_PV_Utility_Avg;1; ; ; ; ; ; ; 
RES_PV_Utility_Inf;1; ; ; ; ; ; ; 
RES_PV_Utility_Opt;1; ; ; ; ; ; ; 
RES_Wind_Offshore_Transitional;1; ; ; ; ; ; ; 
RES_Wind_Offshore_Shallow;1; ; ; ; ; ; ; 
RES_Wind_Offshore_Deep;1; ; ; ; ; ; ; 
RES_Wind_Onshore_Avg;1; ; ; ; ; ; ; 
RES_Wind_Onshore_Inf;1; ; ; ; ; ; ; 
RES_Wind_Onshore_Opt;1; ; ; ; ; ; ; 
X_Electrolysis; ; ; ; ; ; ;1; 
X_Fuel_Cell; ; ; ; ; ; ;1; 
X_Methanation; ; ; ; ; ; ;1; 
Z_Import_Hardcoal; ; ; ; ;1; ; ; 
Z_Import_Gas; ; ; ; ;1; ; ; 
Z_Import_Oil; ; ; ; ;1; ; ; 
P_Biomass_CCS;1; ; ; ; ; ; ; 
