TagTechnologyToModalType{t in TECHNOLOGY, m in MODEOFOPERATION, md in MODALTYPE}; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tags technologies which belong to a certain modal type; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Unit: Binary; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Technology;ModeOfOperation;MT_PSNG_ROAD;MT_PSNG_RAIL;MT_PSNG_AIR;MT_FRT_ROAD;MT_FRT_RAIL;MT_FRT_SHIP;MT_PSNG_ROAD_RE;MT_PSNG_RAIL_RE;MT_PSNG_AIR_RE;MT_FRT_ROAD_RE;MT_FRT_RAIL_RE;MT_FRT_SHIP_RE;MT_PSNG_ROAD_CONV;MT_PSNG_RAIL_CONV;MT_PSNG_AIR_CONV;MT_FRT_ROAD_CONV;MT_FRT_RAIL_CONV;MT_FRT_SHIP_CONV
FRT_Rail_Conv;1; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; 
FRT_Rail_Electric;1; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; 
FRT_Road_BEV;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
FRT_Road_H2;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
FRT_Road_ICE;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; 
FRT_Road_PHEV;1; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; 
FRT_Road_OH;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
FRT_Ship_Bio;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; 
FRT_Ship_Conv;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1
PSNG_Air_Bio;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; 
PSNG_Air_Conv;1; ; ;1; ; ; ; ; ; ; ; ; ; ;0;1; ; ; 
PSNG_Air_H2;1; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; 
PSNG_Rail_Conv;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; 
PSNG_Rail_Electric;1; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; 
PSNG_Road_BEV;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; 
PSNG_Road_H2;1;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; 
PSNG_Road_ICE;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; 
PSNG_Road_PHEV;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; 
Infeasability_Mob_pass;1;1;1;1; ; ; ;1;1;1; ; ; ;1;1;1; ; ; 
Infeasability_Mob_freight;1; ; ; ;1;1;1; ; ; ;1;1;1; ; ; ;1;1;1
FRT_Road_ICE;2; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
FRT_Road_PHEV;2; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
PSNG_Road_ICE;2;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; 
PSNG_Road_PHEV;2;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; 
PSNG_Road_ICE;3;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; 
PSNG_Road_PHEV;3;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; 
PSNG_Rail_Conv;2; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; 
PSNG_Rail_Conv;3; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; 
PSNG_Air_Conv;2; ; ;1; ; ; ; ; ; ; ; ; ; ;0;1; ; ; 
FRT_Rail_Conv;2; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; 
FRT_Rail_Conv;3; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; 
FRT_Road_ICE;3; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
FRT_Road_PHEV;3; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
FRT_Ship_Conv;2; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; 
FRT_Road_LNG;1; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1; ; 
FRT_Ship_LNG;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ;1
PSNG_Road_LNG;1;1; ; ; ; ; ;1; ; ; ; ; ;1; ; ; ; ; 
