Region,Technology,Fuel,Mode_of_operation,Year,Value,,Unit,Source,Updated at,Updated by
World,CHP_Coal_Hardcoal,Hardcoal,1,2018,2.564102564,,Fraction,,,
World,CHP_Coal_Lignite,Lignite,1,2018,2.564102564,,Fraction,,,
World,CHP_Gas,Gas_Natural,1,2018,1.754385965,,Fraction,,,
World,CHP_Nuclear,Nuclear,1,2018,2.702702703,,Fraction,,,
World,CHP_Biomass,Biomass,1,2018,3.333333333,,Fraction,,,
World,D_Battery_Li-Ion,Power,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_Battery_Redox,Power,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_Gas_H2,H2,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_Gas_Methane,Gas_Natural,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_Heat_HLI,Heat_Low_Industrial,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_Heat_HLR,Heat_Low_Residential,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_PHS,Power,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_PHS_Residual,Power,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,D_CAES,Power,1,2018,1.0,,Fraction,"Irrelevant, efficiency in TechnologyToStorage",06.09.2023,Stian Backe <stian.backe@sintef.no>
World,FRT_Rail_Conv,Oil,1,2018,0.159774436,,Fraction,,,
World,FRT_Rail_Electric,Power,1,2018,0.093984962,,Fraction,,,
World,FRT_Road_OH,Power,1,2018,0.109842857,,Fraction,,,
World,FRT_Road_BEV,Power,1,2018,0.595,,Fraction,,,
World,FRT_Road_H2,H2,1,2018,0.597,,Fraction,,,
World,FRT_Road_ICE,Oil,1,2018,0.636,,Fraction,,,
World,FRT_Road_ICE,Biofuel,2,2018,0.7632,,Fraction,,,
World,FRT_Road_PHEV,Power,1,2018,0.124282143,,Fraction,,,
World,FRT_Road_PHEV,Oil,1,2018,0.497128571,,Fraction,,,
World,FRT_Road_PHEV,Power,2,2018,0.149138571,,Fraction,,,
World,FRT_Road_PHEV,Biofuel,2,2018,0.7632,,Fraction,,,
World,FRT_Ship_Bio,Biofuel,1,2018,0.113837209,,Fraction,,,
World,FRT_Ship_Conv,Oil,1,2018,0.103488372,,Fraction,,,
World,HHT_Biomass,Biomass,1,2018,1.25,,Fraction,,,
World,HHT_Coal_Hardcoal,Hardcoal,1,2018,1.333333333,,Fraction,,,
World,HHT_Coal_Lignite,Lignite,1,2018,1.333333333,,Fraction,,,
World,HHT_Electric_Furnace,Power,1,2018,1.041666667,,Fraction,,,
World,HHT_Gas,Gas_Natural,1,2018,1.111111111,,Fraction,,,
World,HHT_Oil,Oil,1,2018,1.176470588,,Fraction,,,
World,HHT_Geothermal,Power,1,2018,0.294117647,,Fraction,,,
World,HHT_H2,H2,1,2018,2.127659574,,Fraction,,,
World,HLT_Biomass,Biomass,1,2018,1.25,,Fraction,,,
World,HLT_Coal_Hardcoal,Hardcoal,1,2018,1.333333333,,Fraction,,,
World,HLT_Coal_Lignite,Lignite,1,2018,1.333333333,,Fraction,,,
World,HLT_Electric_Furnace,Power,1,2018,1.041666667,,Fraction,,,
World,HLT_Gas,Gas_Natural,1,2018,1.111111111,,Fraction,,,
World,HLT_Heatpump,Power,1,2018,0.333333333,,Fraction,,,
World,HLT_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.165826357,,Fraction,,,
World,HLT_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.165826357,,Fraction,,,
World,HLT_Oil,Oil,1,2018,1.176470588,,Fraction,,,
World,HLT_Geothermal,Power,1,2018,0.285714286,,Fraction,,,
World,P_Coal_Hardcoal,Hardcoal,1,2018,2.555555556,,Fraction,,,
World,P_Coal_Lignite,Lignite,1,2018,2.380952381,,Fraction,,,
World,P_Gas,Gas_Natural,1,2018,1.724137931,,Fraction,,,
World,P_Nuclear,Nuclear,1,2018,2.702702703,,Fraction,,,
World,P_Oil,Oil,1,2018,2.631578947,,Fraction,,,
World,P_Biomass,Biomass,1,2018,2.941176471,,Fraction,,,
World,PSNG_Air_Bio,Biofuel,1,2018,1.36424581,,Fraction,,,
World,PSNG_Air_Conv,Oil,1,2018,1.240223464,,Fraction,,,
World,PSNG_Air_H2,H2,1,2018,1.265027933,,Fraction,,,
World,PSNG_Rail_Conv,Oil,1,2018,0.673913043,,Fraction,,,
World,PSNG_Rail_Electric,Power,1,2018,0.375,,Fraction,,,
World,PSNG_Road_BEV,Power,1,2018,0.46,,Fraction,,,
World,PSNG_Road_H2,H2,1,2018,0.453333333,,Fraction,,,
World,PSNG_Road_ICE,Oil,1,2018,1.426666667,,Fraction,,,
World,PSNG_Road_ICE,Biofuel,2,2018,1.712,,Fraction,,,
World,PSNG_Road_PHEV,Power,1,2018,0.196,,Fraction,,,
World,PSNG_Road_PHEV,Oil,1,2018,0.784,,Fraction,,,
World,PSNG_Road_PHEV,Power,2,2018,0.2352,,Fraction,,,
World,PSNG_Road_PHEV,Biofuel,2,2018,0.9408,,Fraction,,,
World,RES_PV_Rooftop_Commercial,Area_Rooftop_Commercial,1,2018,0.165826357,,Fraction,,,
World,RES_PV_Rooftop_Residential,Area_Rooftop_Residential,1,2018,0.165826357,,Fraction,,,
World,X_Electrolysis,Power,1,2018,1.5625,,Fraction,,,
World,X_Fuel_Cell,H2,1,2018,2.127659574,,Fraction,,,
World,X_Fuel_Cell,H2,2,2018,2.702702703,,Fraction,,,
World,X_Methanation,H2,1,2018,1.666666667,,Fraction,,,
World,X_Methanation,Biomass,2,2018,2.564102564,,Fraction,,,
World,CHP_Biomass_CCS,Biomass,1,2018,3.333333333,,Fraction,,,
World,P_Biomass_CCS,Biomass,1,2018,2.941176471,,Fraction,,,
World,CHP_Biomass_CCS,CCS,1,2018,0.256666667,,Fraction,,,
World,P_Biomass_CCS,CCS,1,2018,0.226470588,,Fraction,,,
World,CHP_Gas,Gas_Bio,2,2018,1.754385965,,Fraction,,,
World,HHT_Gas,Gas_Bio,2,2018,1.111111111,,Fraction,,,
World,HLT_Gas,Gas_Bio,2,2018,1.111111111,,Fraction,,,
