Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
All,CO2,2018,15,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2020,30,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2025,45,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2030,60,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2035,75,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2040,90,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2045,105,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2050,120,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2055,150,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2060,180,,M€ / Mt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
