Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
DE_BB,CO2,2018,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2020,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2021,999999.0,,Megatonnes,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BB,CO2,2025,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2030,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2035,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2040,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2045,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2050,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BB,CO2,2055,999999.0,,Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BB,CO2,2060,999999.0,,Megatonnes,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
DE_BE,CO2,2018,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,CO2,2020,999999.0,,Megatonnes,Assumption that makes the constraint not effective.,20.09.2023,Jonathan Hanto <joh@wip.tu-berlin.de>
DE_BE,CO2,2021,999999.0,,Megatonnes,interpolated between 2018 and 2025,30.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
