Source: ERA5 reanalysis data using Atlite; 19.04.2024; Konstantin Löffler <kl@wip.tu-berlin.de>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,NONEU_Balkan,SE,SI,SK,TR,UK,DolAmroth,Gondor,Rohan,Harad,Mordor
19,1.5066281,1.481118817,1.610199811,1.418805837,1.518106738,1.422927767,1.341675186,1.151762648,1.371317597,1.256870186,1.427261847,1.878886416,1.456312693,1.605144109,1.316215394,1.698621418,1.097751401,1.449150421,1.09266055,1.446751309,1.260703286,1.296700289,1.291710977,1.52208028,1.614812501,1.234733733,1.646446665,1.539834118,1.882205395,1.340224898,1.413702376,2.462893012,1.348852901,0.559318365,1.558986615
20,1.523492231,1.482488982,1.660996789,1.418826758,1.569740991,1.436334746,1.338246551,1.130717879,1.40454918,1.256655609,1.430992902,1.895113691,1.469186058,1.637531441,1.348229796,1.738872608,1.10626463,1.394328148,1.099407395,1.463271715,1.262130912,1.334515299,1.346986652,1.547474849,1.641342265,1.232174282,1.647591044,1.558713061,1.897484909,1.334600834,1.510042229,2.526698531,1.45341,0.727747895,1.631113182
21,1.550597416,1.502803784,1.723853514,1.417822575,1.585736972,1.447117872,1.341810825,1.111450248,1.440005147,1.255311359,1.445320592,1.958172149,1.489139304,1.647938817,1.385567391,1.781092183,1.129496701,1.35425805,1.110075448,1.474599088,1.265436941,1.373334175,1.447645099,1.577254302,1.676547388,1.230880747,1.653074524,1.583846378,1.955931612,1.331888387,1.609536766,2.603265153,1.5579671,0.992264341,1.70323975
22,1.558845617,1.50646688,1.747935802,1.419196353,1.604446276,1.456100292,1.339504973,1.116689834,1.451670336,1.2538163,1.455801033,1.976032709,1.515731112,1.654474544,1.429400661,1.788718431,1.141988116,1.438784028,1.113649796,1.464371666,1.269505864,1.41843521,1.468652151,1.592291038,1.659514789,1.230942508,1.654457314,1.59733961,2.008296786,1.342503181,1.644170994,2.641548464,1.595304615,1.246825725,1.727731462
23,1.566840757,1.483076196,1.767209073,1.399851889,1.611441419,1.465754784,1.34761313,1.124560015,1.503748013,1.250913689,1.469436127,1.994371455,1.53204113,1.675305186,1.472644556,1.810181211,1.19324123,1.497593376,1.145789315,1.453636574,1.267608876,1.469967842,1.544787345,1.609516585,1.648002873,1.229831955,1.664232213,1.622332286,2.069697267,1.356409306,1.749461737,2.641548464,1.706262145,1.519558395,1.804578013
24,1.560553777,1.455547053,1.789742616,1.417187987,1.615813384,1.468378637,1.348494779,1.125688957,1.518275568,1.249078844,1.489429934,1.985714424,1.537008314,1.663171191,1.493730422,1.824241108,1.211782338,1.445163347,1.150658042,1.458078681,1.269350999,1.509845343,1.588457095,1.622115863,1.646869576,1.229794744,1.662515646,1.63194549,2.084056456,1.367878098,1.811512275,2.654309567,1.772406618,1.738509444,1.849667993
25,1.569023407,1.458105627,1.80209537,1.430911817,1.61967153,1.477845392,1.350167652,1.129324257,1.548634262,1.247743439,1.513542724,1.986857103,1.555252623,1.657308104,1.507580757,1.845476537,1.233285926,1.462507121,1.157066488,1.469585853,1.26945869,1.540224887,1.617725991,1.626723983,1.641010892,1.229199764,1.67591441,1.643618667,2.09819573,1.377204731,1.850449492,2.654309567,1.813481903,1.969611381,1.877792134
26,1.585820318,1.451240818,1.804871949,1.453917364,1.602021413,1.482274394,1.35772572,1.137491529,1.578550974,1.246237674,1.522510797,2.006444101,1.557806639,1.652414254,1.49989379,1.842181934,1.256651644,1.454532972,1.164887753,1.483906359,1.276551548,1.573306889,1.651240558,1.623373613,1.622149111,1.228963843,1.671837562,1.645231898,2.102688155,1.388664926,1.861259544,2.705353982,1.824685168,2.114930106,1.885731277
27,1.586053608,1.445103035,1.800481512,1.485165577,1.571827815,1.484826042,1.36385205,1.159308732,1.619264694,1.246206488,1.532174211,1.973107701,1.585290474,1.664362875,1.453076019,1.841493897,1.313223854,1.463304535,1.195809032,1.483504454,1.282894856,1.589471439,1.711892989,1.621965224,1.611260177,1.229208587,1.684783343,1.650857525,2.134287257,1.418219562,1.911006812,2.705353982,1.876963717,2.26024883,1.921794561
28,1.575440871,1.447368003,1.795212058,1.502438915,1.565224796,1.492732038,1.38050542,1.17232127,1.638589604,1.24333134,1.536685695,1.945838675,1.605544192,1.681035863,1.439520372,1.832657102,1.331323932,1.469085793,1.201261499,1.483440996,1.288216049,1.616369388,1.764316361,1.617564007,1.623706566,1.230446883,1.702998033,1.661074657,2.133827847,1.444826758,1.932626915,2.718115086,1.899370246,2.405567555,1.937672846
29,1.559826228,1.457448507,1.788407812,1.502417994,1.538731593,1.498810668,1.385584321,1.179537854,1.648054087,1.243570586,1.544456134,1.938262221,1.624530293,1.694785252,1.373297084,1.856291688,1.349165629,1.465298073,1.209251964,1.463155375,1.29086497,1.624164192,1.768127628,1.612398702,1.638227354,1.230575776,1.721093517,1.666700284,2.142739642,1.463018635,1.943436967,2.654309567,1.91057351,2.550886279,1.945611989
30,1.546730331,1.469989716,1.754874924,1.491616057,1.539479785,1.507816417,1.400037337,1.196131676,1.660745307,1.245607441,1.558837805,1.955632174,1.640352043,1.704085686,1.321156121,1.870032495,1.383173996,1.473272222,1.243633381,1.454884595,1.296425371,1.64166343,1.781135116,1.596674105,1.620870009,1.22993553,1.735493613,1.672698195,2.13659259,1.478625592,1.982374184,2.577742945,1.951648795,2.638430174,1.97373613
31,1.520115451,1.486445685,1.723355869,1.504503068,1.533120154,1.509461602,1.409946469,1.189098748,1.670974053,1.246093847,1.559762792,1.911372017,1.659732513,1.71307893,1.276156638,1.863814232,1.394106212,1.466693549,1.251699986,1.450579982,1.298558709,1.647126523,1.772930645,1.589739239,1.630791332,1.226642615,1.757689786,1.672673376,2.108402157,1.477017898,1.993184236,2.501176323,1.962852059,2.72597407,1.981675273
32,1.508012026,1.513639278,1.711486808,1.515109748,1.524984694,1.511725536,1.418830778,1.177263766,1.676272585,1.248450938,1.55747823,1.839252865,1.675582433,1.714524841,1.21586473,1.884830287,1.408424117,1.478056711,1.257727732,1.437761331,1.302955471,1.636443318,1.793478705,1.578285185,1.646259848,1.228696467,1.773544196,1.657293904,1.989003838,1.468400542,2.016297556,2.513937427,1.987921247,2.785443173,1.998641112
33,1.497399289,1.531381524,1.528558157,1.520012112,1.497896543,1.513477363,1.428287782,1.164980449,1.65310795,1.252255146,1.540876041,1.522327291,1.677347708,1.709461506,1.138443299,1.864081469,1.402236323,1.496596607,1.257008633,1.433604788,1.31119529,1.595911022,1.769152163,1.538877502,1.56474859,1.229204367,1.760383844,1.629562872,1.737614856,1.462135979,2.377664542,2.692592879,2.425129884,3.92360818,2.316272074
34,1.462555978,1.522797017,1.458260015,1.496232508,1.456101463,1.495802457,1.412568809,1.160178395,1.543810598,1.256468494,1.496985366,1.433533729,1.664690308,1.685961492,1.084270869,1.779650296,1.379436372,1.481047017,1.249204288,1.421706288,1.32021611,1.536629216,1.66109248,1.490146499,1.528522836,1.229878755,1.703236445,1.573438967,1.625039901,1.436458724,2.278170005,2.641548464,2.320572784,3.741881352,2.244145506
35,1.442603715,1.478630149,1.320370545,1.445214448,1.432767793,1.462167814,1.359172528,1.15407995,1.342836014,1.254356234,1.428628741,1.224125496,1.627844879,1.62290815,1.084979374,1.629420802,1.344421208,1.43838532,1.240553943,1.389585625,1.308544462,1.481167811,1.381722464,1.439693123,1.474866836,1.226301585,1.632857171,1.513112389,1.495561682,1.39628213,2.110828723,2.616026256,2.143470782,3.378427697,2.122208974
