Source: ERA5; 22.01.2025; Unit: Deviation from mean; Konstantin Loffler <kl@wip.tu-berlin.de>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,NONEU_Balkan,SE,SI,SK,TR,UK
1,1.174454379,1.08597634,1.245667549,1.121105086,1.117702064,1.049336306,1.074426348,1.145829466,1.183065237,1.122606209,1.114675946,1.331947425,1.172853589,1.214916921,1.106949736,1.201851698,1.155471762,1.073683529,1.155809382,1.070689052,1.160672261,1.064707573,1.187242444,1.209183261,1.270950318,1.164289572,1.127239564,1.195308946,1.252185982,1.10978843
2,1.173771441,1.08885415,1.246086531,1.119728705,1.124471075,1.054947139,1.075537368,1.144681178,1.193452648,1.122563269,1.121009301,1.330768086,1.170173546,1.215171742,1.110306873,1.197196443,1.151045721,1.080047676,1.152445352,1.078954015,1.159876864,1.065801313,1.197647867,1.214153456,1.27541383,1.16043924,1.120614686,1.199302965,1.249876717,1.114348306
3,1.176340162,1.098273667,1.260276913,1.126661545,1.128449589,1.058461765,1.077735566,1.143079155,1.206697875,1.123735569,1.126681348,1.338690974,1.173391639,1.218509062,1.108001519,1.19579607,1.138998604,1.096838849,1.142613157,1.08449581,1.155465727,1.064843814,1.206369615,1.220788582,1.298313044,1.153669074,1.114120268,1.199636598,1.260870091,1.114893264
4,1.179698708,1.107205455,1.264374164,1.13494194,1.124810323,1.061833248,1.078989169,1.143837228,1.220155139,1.123737767,1.132642191,1.34185779,1.157836877,1.212792369,1.112851394,1.19502382,1.134819098,1.114270205,1.13983905,1.087170195,1.152904569,1.066808341,1.210682411,1.225850488,1.295902932,1.145662518,1.106160795,1.1974355,1.263702187,1.11707125
5,1.180588811,1.117650281,1.268884547,1.140839873,1.121417671,1.069621344,1.079599494,1.142724286,1.227491809,1.123476855,1.137350254,1.341633122,1.157405961,1.213439073,1.109147902,1.192953911,1.127220412,1.124603722,1.138072431,1.092090842,1.151141146,1.066915767,1.213201687,1.227046477,1.297452963,1.13904585,1.106289663,1.199027923,1.267328993,1.117426315
6,1.178367461,1.124605235,1.27975164,1.14523684,1.115596314,1.078084833,1.080454919,1.138073647,1.232137477,1.122668214,1.139752613,1.354421464,1.152591628,1.210243512,1.11331621,1.190055632,1.108873302,1.132549657,1.129797383,1.098300471,1.147981784,1.069102939,1.213410654,1.233460723,1.304380186,1.134035729,1.106587959,1.19680236,1.271132718,1.117552107
7,1.171869756,1.126503578,1.284408178,1.152391831,1.116206952,1.085696613,1.084927263,1.135427502,1.237380302,1.120600815,1.141615145,1.352562616,1.148120594,1.201048561,1.116809262,1.190999438,1.098104959,1.131456654,1.128260133,1.106828399,1.144935567,1.069502858,1.221685689,1.236125834,1.304974963,1.127375869,1.107507603,1.193434886,1.267919116,1.118863576
8,1.164746573,1.131208399,1.264995297,1.155142445,1.11809169,1.092328855,1.089789331,1.133357827,1.24271565,1.119516044,1.143448291,1.328758078,1.146348102,1.198061144,1.120213885,1.190929799,1.089558551,1.130608216,1.129399133,1.115954895,1.141290108,1.072075287,1.22423104,1.229714656,1.299723307,1.122050739,1.106738767,1.191628782,1.25171163,1.122584018
9,1.158115376,1.131633872,1.168644377,1.156334518,1.116778545,1.097936814,1.09247483,1.129822439,1.240927659,1.118212725,1.140427613,1.213648861,1.130053061,1.186280893,1.111440181,1.176652137,1.065370667,1.130773656,1.117925106,1.121371551,1.139049169,1.067376781,1.21852731,1.185759799,1.219599933,1.117249948,1.111874145,1.185467472,1.212674324,1.124181232
10,1.147383809,1.128034212,1.124454849,1.149317705,1.111203603,1.099184653,1.090991703,1.128226868,1.200491938,1.116430013,1.125065933,1.173711455,1.124040259,1.177776985,1.103003551,1.162227508,1.061189518,1.130521728,1.112393028,1.117982343,1.1375626,1.06038566,1.193263315,1.147138133,1.194772625,1.1127095,1.114682842,1.178692735,1.195996804,1.126650776
11,1.13200832,1.118026579,1.052052991,1.137766374,1.099420772,1.093750716,1.088657042,1.120914247,1.148875587,1.113675442,1.110488834,1.105806237,1.099262272,1.160936986,1.087148196,1.143683716,1.038692332,1.121899645,1.091098493,1.107388043,1.126826655,1.047637593,1.129782111,1.102594935,1.118205008,1.108780168,1.110919551,1.169988164,1.172861843,1.121503966
12,1.12041568,1.108700638,1.030357609,1.125094605,1.091675208,1.089088568,1.08902744,1.120048141,1.1169001,1.112762488,1.102551935,1.093835656,1.090082316,1.149293478,1.067376857,1.136111682,1.033565573,1.1133423,1.084389551,1.097854305,1.120748086,1.04292774,1.10219554,1.075784787,1.099545261,1.104671153,1.110122154,1.164980076,1.164322416,1.108953721
13,1.114816794,1.104820227,1.018161953,1.120055929,1.087797359,1.085831046,1.089607488,1.117517231,1.092737828,1.112195712,1.098678451,1.086419671,1.08339932,1.136878144,1.059861531,1.134641987,1.031070989,1.106309542,1.074239315,1.092948131,1.11572885,1.041513369,1.084526941,1.059321751,1.088460295,1.101770328,1.114241718,1.158619142,1.159572621,1.099038862
14,1.11332684,1.115933011,1.016926664,1.116457187,1.09011058,1.084895955,1.091039631,1.115575988,1.076956576,1.112353241,1.100057836,1.086828079,1.082817183,1.135340161,1.057708291,1.131456539,1.033431948,1.119727855,1.064787423,1.090903348,1.114573574,1.045836228,1.059214468,1.055212355,1.08544023,1.099749161,1.115819291,1.155858792,1.157043523,1.09091008
15,1.116583055,1.135615437,1.045519463,1.122993419,1.094095556,1.08816917,1.09264464,1.108379514,1.062658067,1.111453221,1.100871361,1.100952845,1.08601598,1.139178467,1.052216118,1.127610461,1.031014139,1.137446762,1.047892477,1.092478677,1.110574747,1.055579547,1.04088663,1.072837419,1.106198825,1.09880178,1.121369581,1.155132655,1.175195737,1.089491449
16,1.1287414,1.14505246,1.075445809,1.14075187,1.111237107,1.099803459,1.096883517,1.100988138,1.064659967,1.110745109,1.105151505,1.125445972,1.095735419,1.147581991,1.05809798,1.131090244,1.0325719,1.144918297,1.040395313,1.098894289,1.110814785,1.067750174,1.039015307,1.10336359,1.131889313,1.098415641,1.139600625,1.159525787,1.196839002,1.09271646
17,1.147472636,1.143218873,1.112616134,1.14807359,1.130944039,1.11404481,1.100935573,1.089633716,1.074861036,1.110209569,1.113507822,1.14258297,1.120482552,1.160444051,1.071996942,1.149263113,1.035006741,1.148010628,1.039356241,1.110777235,1.110499451,1.078584541,1.041095991,1.134090894,1.14954697,1.098574214,1.173379642,1.16640704,1.212722443,1.097746404
18,1.163383011,1.140971611,1.168489841,1.152314344,1.151491672,1.1255155,1.104035454,1.071818002,1.096660168,1.109710652,1.119193869,1.191225721,1.125945807,1.172185448,1.080727483,1.170198881,1.039887897,1.147255528,1.038323068,1.119803016,1.109627618,1.091802402,1.062386833,1.15810914,1.179377172,1.098374341,1.183119628,1.171880736,1.23766175,1.101192795
19,1.172204964,1.138543344,1.180394661,1.150503837,1.166873472,1.132757065,1.104322381,1.060238855,1.113324298,1.109303776,1.121571423,1.198390149,1.134656275,1.18267938,1.090590482,1.179036102,1.042354619,1.1373029,1.039850076,1.126693109,1.109058621,1.102530161,1.082561923,1.167651875,1.18268736,1.098281705,1.187659094,1.174653927,1.245634873,1.099923689
20,1.177670408,1.138901213,1.193569997,1.150526773,1.182166941,1.136510539,1.10332318,1.052914386,1.120607558,1.109216004,1.122478199,1.201351125,1.137754269,1.190945467,1.099594858,1.187817397,1.045150129,1.121942804,1.042126496,1.131000438,1.109645763,1.113762144,1.092938177,1.174849134,1.189562502,1.097256389,1.187967254,1.180226894,1.249304396,1.098320057
21,1.186441346,1.14427298,1.209862951,1.150176621,1.186913039,1.139526533,1.104351778,1.046216401,1.128375533,1.108670188,1.125974604,1.212760263,1.142519672,1.193593151,1.110088589,1.197039587,1.052776151,1.110559442,1.045723011,1.133952304,1.111005032,1.125295857,1.111844789,1.183294436,1.198665084,1.096739614,1.18943957,1.187660423,1.263324461,1.097546586
22,1.189118885,1.145241132,1.21612138,1.150647335,1.19245477,1.142046291,1.10368631,1.048030124,1.130935304,1.108060441,1.128530632,1.215996027,1.148882686,1.195265793,1.122395115,1.198703588,1.056877833,1.134390567,1.046919595,1.131282844,1.112682578,1.138690554,1.115769431,1.187561705,1.194261558,1.096763317,1.189813027,1.191629708,1.275893612,1.100580816
23,1.191705334,1.139065726,1.221109139,1.143945938,1.19453364,1.144746458,1.106043927,1.050766942,1.142347703,1.106878378,1.131855215,1.219315872,1.1528013,1.200595251,1.134553775,1.203394543,1.073706035,1.150965949,1.057765067,1.128489332,1.111902513,1.153997977,1.130072035,1.19244787,1.191278455,1.096321192,1.192417734,1.199033228,1.290628699,1.104554487
24,1.189676408,1.131807752,1.226963438,1.14995537,1.195817855,1.145484429,1.106291929,1.051171601,1.145530696,1.106133542,1.136729323,1.217760117,1.153983924,1.197486522,1.140478687,1.206460535,1.079798136,1.136166739,1.059396674,1.129637204,1.112614945,1.165840736,1.13827652,1.196024289,1.190981695,1.09630351,1.191953077,1.201871824,1.294075474,1.107829858
25,1.192424727,1.132474314,1.23015489,1.154713315,1.19697765,1.148134274,1.106773592,1.052426221,1.15218491,1.105591538,1.142609732,1.217964346,1.158357874,1.195996917,1.144359175,1.211095557,1.086858442,1.141128581,1.06157472,1.132636859,1.112664695,1.174866904,1.143757114,1.197321598,1.189462046,1.096065237,1.19551496,1.205317386,1.297467904,1.110502129
26,1.197865015,1.130661554,1.23087786,1.162693497,1.191738861,1.149368564,1.108970695,1.055254977,1.158741103,1.10497776,1.144800352,1.221508142,1.158967354,1.194746318,1.142209989,1.210371458,1.094533184,1.138841873,1.064197643,1.136370719,1.115581757,1.184688523,1.15004768,1.196379348,1.184582699,1.095973573,1.194466584,1.205797931,1.298543381,1.113772279
27,1.197932186,1.129036769,1.229735614,1.173535572,1.182793801,1.150085958,1.110752235,1.062846033,1.167663781,1.104968817,1.147156354,1.215479312,1.165543833,1.197799958,1.129053054,1.210223843,1.113120297,1.141265249,1.074635763,1.136266806,1.118192824,1.189496395,1.161431628,1.195979688,1.181758022,1.096073112,1.197893115,1.207452386,1.306127954,1.122218932
